/home/sdn/Desktop/2/application/nfv/dns.click:37: While initializing 'fr_ext :: FromDevice':
  warning: s4-eth1: no IPv4 address assigned
/home/sdn/Desktop/2/application/nfv/dns.click:39: While initializing 'fr_int :: FromDevice':
  warning: s4-eth2: no IPv4 address assigned
dns_ci_3:   70 | 33330000 0002c647 55b4e8c5 86dd6000 00000010 3afffe80
dns_ci_3:   70 | 33330000 00020000 00000004 86dd6000 00000010 3afffe80
dns_ci_3:   70 | 33330000 00020000 00000004 86dd6000 00000010 3afffe80
dns_ci_3:   70 | 33330000 00020000 00000004 86dd6000 00000010 3afffe80
dns_ci_3:   70 | 33330000 00020000 00000004 86dd6000 00000010 3afffe80
dns_ci_3:   70 | 33330000 00020000 00000004 86dd6000 00000010 3afffe80
dns_ci_3:   70 | 33330000 00020000 00000004 86dd6000 00000010 3afffe80
dns_ci_3:   70 | 33330000 00020000 00000004 86dd6000 00000010 3afffe80
dns_ci_3:   70 | 33330000 00020000 00000004 86dd6000 00000010 3afffe80
dns_ci_3:   70 | 33330000 00020000 00000004 86dd6000 00000010 3afffe80
dns_ci_3:   70 | 33330000 00020000 00000004 86dd6000 00000010 3afffe80
dns_ci_3:   70 | 33330000 00020000 00000004 86dd6000 00000010 3afffe80
dns_ci_3:   70 | 33330000 00020000 00000004 86dd6000 00000010 3afffe80
dns_ci_3:   70 | 33330000 00020000 00000004 86dd6000 00000010 3afffe80
dns_ci_3:   70 | 33330000 00020000 00000004 86dd6000 00000010 3afffe80
dns_ci_3:   70 | 33330000 00020000 00000004 86dd6000 00000010 3afffe80
dns_ci_3:   70 | 33330000 00020000 00000004 86dd6000 00000010 3afffe80
dns_ci_3:   70 | 33330000 00020000 00000004 86dd6000 00000010 3afffe80
dns_ci_3:   70 | 33330000 00020000 00000004 86dd6000 00000010 3afffe80
dns_ci_3:   70 | 33330000 00020000 00000004 86dd6000 00000010 3afffe80
dns_ci_3:   70 | 33330000 00020000 00000004 86dd6000 00000010 3afffe80
dns_ci_3:   70 | 33330000 00020000 00000004 86dd6000 00000010 3afffe80
dns_ci_3:   70 | 33330000 00020000 00000004 86dd6000 00000010 3afffe80
dns_ci_3:   70 | 33330000 00020000 00000004 86dd6000 00000010 3afffe80
dns_ci_3:   70 | 33330000 00020000 00000004 86dd6000 00000010 3afffe80
dns_ci_3:   70 | 33330000 00020000 00000004 86dd6000 00000010 3afffe80
dns_ci_3:   70 | 33330000 00020000 00000004 86dd6000 00000010 3afffe80
dns_ci_3:   70 | 33330000 00020000 00000004 86dd6000 00000010 3afffe80
dns_ci_3:   70 | 33330000 00020000 00000004 86dd6000 00000010 3afffe80
dns_ci_3:   70 | 33330000 00020000 00000004 86dd6000 00000010 3afffe80
dns_ci_3:   70 | 33330000 00020000 00000004 86dd6000 00000010 3afffe80
dns_ci_3:   70 | 33330000 00020000 00000004 86dd6000 00000010 3afffe80
dns_ci_3:   70 | 33330000 00020000 00000004 86dd6000 00000010 3afffe80
dns_ci_3:   70 | 33330000 00020000 00000004 86dd6000 00000010 3afffe80
dns_ci_3:   70 | 33330000 00020000 00000004 86dd6000 00000010 3afffe80
dns_ci_3:   70 | 33330000 00020000 00000004 86dd6000 00000010 3afffe80
dns_ci_3:   70 | 33330000 00020000 00000004 86dd6000 00000010 3afffe80
dns_ci_3:   70 | 33330000 00020000 00000004 86dd6000 00000010 3afffe80
dns_ci_3:   70 | 33330000 00020000 00000004 86dd6000 00000010 3afffe80
dns_ci_3:   70 | 33330000 00020000 00000004 86dd6000 00000010 3afffe80
dns_ci_3:   70 | 33330000 00020000 00000004 86dd6000 00000010 3afffe80
dns_ci_3:   70 | 33330000 00020000 00000004 86dd6000 00000010 3afffe80
dns_ci_3:   70 | 33330000 00020000 00000004 86dd6000 00000010 3afffe80
dns_ci_3:   70 | 33330000 00020000 00000004 86dd6000 00000010 3afffe80
dns_ci_3:   70 | 33330000 00020000 00000004 86dd6000 00000010 3afffe80
dns_ci_3:   70 | 33330000 00020000 00000004 86dd6000 00000010 3afffe80
dns_ci_3:   70 | 33330000 00020000 00000004 86dd6000 00000010 3afffe80
dns_ci_3:   70 | 33330000 00020000 00000004 86dd6000 00000010 3afffe80
dns_ci_3:   70 | 33330000 00020000 00000004 86dd6000 00000010 3afffe80
dns_ci_3:  107 | 33330000 00fbea5e ea433f60 86dd6004 40670035 11fffe80
dns_ci_3:  107 | 33330000 00fbea5e ea433f60 86dd6004 40670035 11fffe80
dns_ci_3:  107 | 33330000 00fbea5e ea433f60 86dd6004 40670035 11fffe80
dns_ci_3:  107 | 33330000 00fbea5e ea433f60 86dd6004 40670035 11fffe80
dns_ci_3:  107 | 33330000 00fbea5e ea433f60 86dd6004 40670035 11fffe80
dns_ci_3:  107 | 33330000 00fbea5e ea433f60 86dd6004 40670035 11fffe80
dns_ce_3:   70 | 33330000 00024613 54f1794d 86dd6000 00000010 3afffe80
dns_ci_3:   70 | 33330000 0002ea5e ea433f60 86dd6000 00000010 3afffe80
dns_ci_3:   70 | 33330000 0002ea5e ea433f60 86dd6000 00000010 3afffe80
dns_ci_3:   70 | 33330000 0002ea5e ea433f60 86dd6000 00000010 3afffe80
dns_ci_3:   70 | 33330000 0002ea5e ea433f60 86dd6000 00000010 3afffe80
dns_ci_3:   70 | 33330000 0002ea5e ea433f60 86dd6000 00000010 3afffe80
dns_ci_3:   70 | 33330000 0002ea5e ea433f60 86dd6000 00000010 3afffe80
dns_ci_3:   70 | 33330000 000262dd b6dbbc01 86dd6000 00000010 3afffe80
dns_ci_3:   70 | 33330000 000262dd b6dbbc01 86dd6000 00000010 3afffe80
dns_ci_3:   70 | 33330000 000262dd b6dbbc01 86dd6000 00000010 3afffe80
dns_ci_3:   70 | 33330000 000262dd b6dbbc01 86dd6000 00000010 3afffe80
dns_ci_3:   70 | 33330000 000262dd b6dbbc01 86dd6000 00000010 3afffe80
dns_ci_3:   70 | 33330000 000262dd b6dbbc01 86dd6000 00000010 3afffe80
dns_ci_3:   70 | 33330000 000262dd b6dbbc01 86dd6000 00000010 3afffe80
dns_ci_3:   70 | 33330000 000262dd b6dbbc01 86dd6000 00000010 3afffe80
dns_ci_3:   70 | 33330000 000262dd b6dbbc01 86dd6000 00000010 3afffe80
dns_ci_3:   70 | 33330000 000262dd b6dbbc01 86dd6000 00000010 3afffe80
dns_ci_3:   70 | 33330000 000262dd b6dbbc01 86dd6000 00000010 3afffe80
dns_ci_3:   70 | 33330000 000262dd b6dbbc01 86dd6000 00000010 3afffe80
dns_ci_3:   70 | 33330000 00020000 00000001 86dd6000 00000010 3afffe80
dns_ci_3:   70 | 33330000 00020000 00000001 86dd6000 00000010 3afffe80
dns_ci_3:   70 | 33330000 00020000 00000001 86dd6000 00000010 3afffe80
dns_ci_3:   70 | 33330000 00020000 00000001 86dd6000 00000010 3afffe80
dns_ci_3:   70 | 33330000 00020000 00000001 86dd6000 00000010 3afffe80
dns_ci_3:   70 | 33330000 00020000 00000001 86dd6000 00000010 3afffe80
dns_ci_3:  107 | 33330000 00fbbefb 246f43ac 86dd600b d31a0035 11fffe80
dns_ci_3:  107 | 33330000 00fbbefb 246f43ac 86dd600b d31a0035 11fffe80
dns_ci_3:  107 | 33330000 00fbaae5 33535b84 86dd6009 e4060035 11fffe80
dns_ci_3:  107 | 33330000 00fbaae5 33535b84 86dd6009 e4060035 11fffe80
dns_ci_3:  107 | 33330000 00fbc648 e84c375c 86dd6002 f9410035 11fffe80
dns_ci_3:  107 | 33330000 00fbc647 55b4e8c5 86dd6000 d14f0035 11fffe80
dns_ci_3:  107 | 33330000 00fbc647 55b4e8c5 86dd6000 d14f0035 11fffe80
dns_ci_3:  107 | 33330000 00fbb2f3 2a49e8b0 86dd600c 76a60035 11fffe80
dns_ci_3:  107 | 33330000 00fbb2f3 2a49e8b0 86dd600c 76a60035 11fffe80
dns_ce_3:  107 | 33330000 00fb4613 54f1794d 86dd6002 6cda0035 11fffe80
dns_ci_3:  107 | 33330000 00fb0e81 633a73e2 86dd6008 c1470035 11fffe80
dns_ci_3:  107 | 33330000 00fb0e81 633a73e2 86dd6008 c1470035 11fffe80
dns_ci_3:  107 | 33330000 00fb0e81 633a73e2 86dd6008 c1470035 11fffe80
dns_ci_3:  107 | 33330000 00fb0e81 633a73e2 86dd6008 c1470035 11fffe80
dns_ci_3:  107 | 33330000 00fb0e81 633a73e2 86dd6008 c1470035 11fffe80
dns_ci_3:  107 | 33330000 00fb0e81 633a73e2 86dd6008 c1470035 11fffe80
dns_ci_3:   70 | 33330000 0002b2f3 2a49e8b0 86dd6000 00000010 3afffe80
dns_ci_3:   70 | 33330000 0002b2f3 2a49e8b0 86dd6000 00000010 3afffe80
dns_ce_3:   70 | 33330000 00020000 00000005 86dd6000 00000010 3afffe80
dns_ce_3:   70 | 33330000 00020000 00000005 86dd6000 00000010 3afffe80
dns_ce_3:   70 | 33330000 00020000 00000005 86dd6000 00000010 3afffe80
dns_ce_3:   70 | 33330000 00020000 00000005 86dd6000 00000010 3afffe80
dns_ce_3:   70 | 33330000 00020000 00000005 86dd6000 00000010 3afffe80
dns_ci_3:  107 | 33330000 00fb0ae3 f68dc82c 86dd600d f6950035 11fffe80
dns_ci_3:  107 | 33330000 00fb0ae3 f68dc82c 86dd600d f6950035 11fffe80
dns_ci_3:  107 | 33330000 00fb0ae3 f68dc82c 86dd600d f6950035 11fffe80
dns_ci_3:  107 | 33330000 00fb0ae3 f68dc82c 86dd600d f6950035 11fffe80
dns_ci_3:  107 | 33330000 00fb0ae3 f68dc82c 86dd600d f6950035 11fffe80
dns_ci_3:  107 | 33330000 00fb0ae3 f68dc82c 86dd600d f6950035 11fffe80
dns_ci_3:  107 | 33330000 00fb62dd b6dbbc01 86dd6001 ab4e0035 11fffe80
dns_ci_3:  107 | 33330000 00fb62dd b6dbbc01 86dd6001 ab4e0035 11fffe80
dns_ci_3:  107 | 33330000 00fb62dd b6dbbc01 86dd6001 ab4e0035 11fffe80
dns_ci_3:  107 | 33330000 00fb62dd b6dbbc01 86dd6001 ab4e0035 11fffe80
dns_ci_3:  107 | 33330000 00fb62dd b6dbbc01 86dd6001 ab4e0035 11fffe80
dns_ci_3:  107 | 33330000 00fb62dd b6dbbc01 86dd6001 ab4e0035 11fffe80
dns_ci_3:  107 | 33330000 00fb62dd b6dbbc01 86dd6001 ab4e0035 11fffe80
dns_ci_3:  107 | 33330000 00fb62dd b6dbbc01 86dd6001 ab4e0035 11fffe80
dns_ci_3:  107 | 33330000 00fb62dd b6dbbc01 86dd6001 ab4e0035 11fffe80
dns_ci_3:  107 | 33330000 00fb62dd b6dbbc01 86dd6001 ab4e0035 11fffe80
dns_ci_3:  107 | 33330000 00fb62dd b6dbbc01 86dd6001 ab4e0035 11fffe80
dns_ci_3:  107 | 33330000 00fb62dd b6dbbc01 86dd6001 ab4e0035 11fffe80
dns_ci_3:   70 | 33330000 00020ae3 f68dc82c 86dd6000 00000010 3afffe80
dns_ci_3:   70 | 33330000 00020ae3 f68dc82c 86dd6000 00000010 3afffe80
dns_ci_3:   70 | 33330000 00020ae3 f68dc82c 86dd6000 00000010 3afffe80
dns_ci_3:   70 | 33330000 00020ae3 f68dc82c 86dd6000 00000010 3afffe80
dns_ci_3:   70 | 33330000 00020ae3 f68dc82c 86dd6000 00000010 3afffe80
dns_ci_3:   70 | 33330000 00020ae3 f68dc82c 86dd6000 00000010 3afffe80
dns_ci_3:   70 | 33330000 00020000 00000008 86dd6000 00000010 3afffe80
dns_ci_3:   70 | 33330000 00020000 00000008 86dd6000 00000010 3afffe80
dns_ci_3:   70 | 33330000 00020000 00000008 86dd6000 00000010 3afffe80
dns_ci_3:   70 | 33330000 00020000 00000008 86dd6000 00000010 3afffe80
dns_ci_3:   70 | 33330000 00020000 00000008 86dd6000 00000010 3afffe80
dns_ci_3:   70 | 33330000 00020000 00000008 86dd6000 00000010 3afffe80
dns_ci_3:   70 | 33330000 00020000 00000008 86dd6000 00000010 3afffe80
dns_ci_3:   70 | 33330000 00020000 00000008 86dd6000 00000010 3afffe80
dns_ci_3:   70 | 33330000 00020000 00000008 86dd6000 00000010 3afffe80
dns_ci_3:   70 | 33330000 00020000 00000008 86dd6000 00000010 3afffe80
dns_ci_3:   70 | 33330000 00020000 00000008 86dd6000 00000010 3afffe80
dns_ci_3:   70 | 33330000 00020000 00000008 86dd6000 00000010 3afffe80
dns_ci_3:   70 | 33330000 00020000 00000008 86dd6000 00000010 3afffe80
dns_ci_3:   70 | 33330000 00020000 00000008 86dd6000 00000010 3afffe80
dns_ci_3:   70 | 33330000 00020000 00000008 86dd6000 00000010 3afffe80
dns_ci_3:   70 | 33330000 00020000 00000008 86dd6000 00000010 3afffe80
dns_ci_3:   70 | 33330000 00020000 00000008 86dd6000 00000010 3afffe80
dns_ci_3:   70 | 33330000 00020000 00000008 86dd6000 00000010 3afffe80
dns_ci_3:   70 | 33330000 00020000 0000000a 86dd6000 00000010 3afffe80
dns_ci_3:   70 | 33330000 00020000 0000000a 86dd6000 00000010 3afffe80
dns_ci_3:   70 | 33330000 00020000 0000000a 86dd6000 00000010 3afffe80
dns_ci_3:   70 | 33330000 00020000 0000000a 86dd6000 00000010 3afffe80
dns_ci_3:   70 | 33330000 00020000 0000000a 86dd6000 00000010 3afffe80
dns_ci_3:   70 | 33330000 00020000 0000000a 86dd6000 00000010 3afffe80
dns_ci_3:   70 | 33330000 00020000 0000000a 86dd6000 00000010 3afffe80
dns_ci_3:   70 | 33330000 00020000 0000000a 86dd6000 00000010 3afffe80
dns_ci_3:   70 | 33330000 00020000 0000000a 86dd6000 00000010 3afffe80
dns_ci_3:   70 | 33330000 00020000 0000000a 86dd6000 00000010 3afffe80
dns_ci_3:   70 | 33330000 00020000 0000000a 86dd6000 00000010 3afffe80
dns_ci_3:   70 | 33330000 00020000 0000000a 86dd6000 00000010 3afffe80
dns_ci_3:   70 | 33330000 00020000 0000000a 86dd6000 00000010 3afffe80
dns_ci_3:   70 | 33330000 00020000 0000000a 86dd6000 00000010 3afffe80
dns_ci_3:   70 | 33330000 00020000 0000000a 86dd6000 00000010 3afffe80
dns_ci_3:   70 | 33330000 00020000 0000000a 86dd6000 00000010 3afffe80
dns_ci_3:   70 | 33330000 00020000 0000000a 86dd6000 00000010 3afffe80
dns_ci_3:   70 | 33330000 00020000 0000000a 86dd6000 00000010 3afffe80
dns_ci_3:   70 | 33330000 00020e81 633a73e2 86dd6000 00000010 3afffe80
dns_ci_3:   70 | 33330000 00020e81 633a73e2 86dd6000 00000010 3afffe80
dns_ci_3:   70 | 33330000 00020e81 633a73e2 86dd6000 00000010 3afffe80
dns_ci_3:   70 | 33330000 00020e81 633a73e2 86dd6000 00000010 3afffe80
dns_ci_3:   70 | 33330000 00020e81 633a73e2 86dd6000 00000010 3afffe80
dns_ci_3:   70 | 33330000 00020e81 633a73e2 86dd6000 00000010 3afffe80
dns_ci_3:   70 | 33330000 00020000 00000003 86dd6000 00000010 3afffe80
dns_ci_3:   70 | 33330000 00020000 00000003 86dd6000 00000010 3afffe80
dns_ci_3:   70 | 33330000 00020000 00000003 86dd6000 00000010 3afffe80
dns_ci_3:   70 | 33330000 00020000 00000003 86dd6000 00000010 3afffe80
dns_ci_3:   70 | 33330000 00020000 00000003 86dd6000 00000010 3afffe80
dns_ci_3:   70 | 33330000 00020000 00000003 86dd6000 00000010 3afffe80
dns_ci_3:   70 | 33330000 00020000 00000003 86dd6000 00000010 3afffe80
dns_ci_3:   70 | 33330000 00020000 00000003 86dd6000 00000010 3afffe80
dns_ci_3:   70 | 33330000 00020000 00000003 86dd6000 00000010 3afffe80
dns_ci_3:   70 | 33330000 00020000 00000003 86dd6000 00000010 3afffe80
dns_ci_3:   70 | 33330000 00020000 00000003 86dd6000 00000010 3afffe80
dns_ci_3:   70 | 33330000 00020000 00000003 86dd6000 00000010 3afffe80
dns_ci_3:   70 | 33330000 00020000 00000003 86dd6000 00000010 3afffe80
dns_ci_3:   70 | 33330000 00020000 00000003 86dd6000 00000010 3afffe80
dns_ci_3:   70 | 33330000 00020000 00000003 86dd6000 00000010 3afffe80
dns_ci_3:   70 | 33330000 00020000 00000003 86dd6000 00000010 3afffe80
dns_ci_3:   70 | 33330000 00020000 00000003 86dd6000 00000010 3afffe80
dns_ci_3:   70 | 33330000 00020000 00000003 86dd6000 00000010 3afffe80
dns_ci_3:   70 | 33330000 00020000 00000003 86dd6000 00000010 3afffe80
dns_ci_3:   70 | 33330000 00020000 00000003 86dd6000 00000010 3afffe80
dns_ci_3:   70 | 33330000 00020000 00000003 86dd6000 00000010 3afffe80
dns_ci_3:   70 | 33330000 00020000 00000003 86dd6000 00000010 3afffe80
dns_ci_3:   70 | 33330000 00020000 00000003 86dd6000 00000010 3afffe80
dns_ci_3:   70 | 33330000 00020000 00000003 86dd6000 00000010 3afffe80
dns_ci_3:   70 | 33330000 00020000 00000003 86dd6000 00000010 3afffe80
dns_ci_3:   70 | 33330000 00020000 00000003 86dd6000 00000010 3afffe80
dns_ci_3:   70 | 33330000 00020000 00000003 86dd6000 00000010 3afffe80
dns_ci_3:   70 | 33330000 00020000 00000003 86dd6000 00000010 3afffe80
dns_ci_3:   70 | 33330000 00020000 00000003 86dd6000 00000010 3afffe80
dns_ci_3:   70 | 33330000 00020000 00000003 86dd6000 00000010 3afffe80
dns_ci_3:   70 | 33330000 00020000 00000003 86dd6000 00000010 3afffe80
dns_ci_3:   70 | 33330000 00020000 00000003 86dd6000 00000010 3afffe80
dns_ci_3:   70 | 33330000 00020000 00000003 86dd6000 00000010 3afffe80
dns_ci_3:   70 | 33330000 00020000 00000003 86dd6000 00000010 3afffe80
dns_ci_3:   70 | 33330000 00020000 00000003 86dd6000 00000010 3afffe80
dns_ci_3:   70 | 33330000 00020000 00000003 86dd6000 00000010 3afffe80
dns_ci_3:   70 | 33330000 00020000 00000003 86dd6000 00000010 3afffe80
dns_ci_3:   70 | 33330000 00020000 00000003 86dd6000 00000010 3afffe80
dns_ci_3:   70 | 33330000 00020000 00000003 86dd6000 00000010 3afffe80
dns_ci_3:   70 | 33330000 00020000 00000003 86dd6000 00000010 3afffe80
dns_ci_3:   70 | 33330000 00020000 00000003 86dd6000 00000010 3afffe80
dns_ci_3:   70 | 33330000 00020000 00000003 86dd6000 00000010 3afffe80
dns_ci_3:   70 | 33330000 00020000 00000003 86dd6000 00000010 3afffe80
dns_ci_3:   70 | 33330000 00020000 00000003 86dd6000 00000010 3afffe80
dns_ci_3:   70 | 33330000 00020000 00000003 86dd6000 00000010 3afffe80
dns_ci_3:   70 | 33330000 00020000 00000003 86dd6000 00000010 3afffe80
dns_ci_3:   70 | 33330000 00020000 00000003 86dd6000 00000010 3afffe80
dns_ci_3:   70 | 33330000 00020000 00000003 86dd6000 00000010 3afffe80
dns_ce_3:   70 | 33330000 00020000 00000007 86dd6000 00000010 3afffe80
dns_ce_3:   70 | 33330000 00020000 00000007 86dd6000 00000010 3afffe80
dns_ce_3:   70 | 33330000 00020000 00000007 86dd6000 00000010 3afffe80
dns_ce_3:   70 | 33330000 00020000 00000007 86dd6000 00000010 3afffe80
dns_ce_3:   70 | 33330000 00020000 00000007 86dd6000 00000010 3afffe80
dns_ci_3:   70 | 33330000 0002aae5 33535b84 86dd6000 00000010 3afffe80
dns_ci_3:   70 | 33330000 0002aae5 33535b84 86dd6000 00000010 3afffe80
dns_ce_3:   70 | 33330000 00020000 00000006 86dd6000 00000010 3afffe80
dns_ce_3:   70 | 33330000 00020000 00000006 86dd6000 00000010 3afffe80
dns_ce_3:   70 | 33330000 00020000 00000006 86dd6000 00000010 3afffe80
dns_ce_3:   70 | 33330000 00020000 00000006 86dd6000 00000010 3afffe80
dns_ce_3:   70 | 33330000 00020000 00000006 86dd6000 00000010 3afffe80
dns_ci_3:   70 | 33330000 00020000 00000009 86dd6000 00000010 3afffe80
dns_ci_3:   70 | 33330000 00020000 00000009 86dd6000 00000010 3afffe80
dns_ci_3:   70 | 33330000 00020000 00000009 86dd6000 00000010 3afffe80
dns_ci_3:   70 | 33330000 00020000 00000009 86dd6000 00000010 3afffe80
dns_ci_3:   70 | 33330000 00020000 00000009 86dd6000 00000010 3afffe80
dns_ci_3:   70 | 33330000 00020000 00000009 86dd6000 00000010 3afffe80
dns_ci_3:   70 | 33330000 00020000 00000009 86dd6000 00000010 3afffe80
dns_ci_3:   70 | 33330000 00020000 00000009 86dd6000 00000010 3afffe80
dns_ci_3:   70 | 33330000 00020000 00000009 86dd6000 00000010 3afffe80
dns_ci_3:   70 | 33330000 00020000 00000009 86dd6000 00000010 3afffe80
dns_ci_3:   70 | 33330000 00020000 00000009 86dd6000 00000010 3afffe80
dns_ci_3:   70 | 33330000 00020000 00000009 86dd6000 00000010 3afffe80
dns_ci_3:   70 | 33330000 00020000 00000009 86dd6000 00000010 3afffe80
dns_ci_3:   70 | 33330000 00020000 00000009 86dd6000 00000010 3afffe80
dns_ci_3:   70 | 33330000 00020000 00000009 86dd6000 00000010 3afffe80
dns_ci_3:   70 | 33330000 00020000 00000009 86dd6000 00000010 3afffe80
dns_ci_3:   70 | 33330000 00020000 00000009 86dd6000 00000010 3afffe80
dns_ci_3:   70 | 33330000 00020000 00000009 86dd6000 00000010 3afffe80
dns_ci_0:   42 | ffffffff ffff0000 00000001 08060001 08000604 00010000
dns_ci_0:   42 | ffffffff ffff0000 00000001 08060001 08000604 00010000
dns_ci_0:   42 | ffffffff ffff0000 00000001 08060001 08000604 00010000
dns_ci_0:   42 | ffffffff ffff0000 00000001 08060001 08000604 00010000
dns_ci_0:   42 | ffffffff ffff0000 00000001 08060001 08000604 00010000
dns_ci_0:   42 | ffffffff ffff0000 00000001 08060001 08000604 00010000
dns_ci_0:   42 | ffffffff ffff0000 00000001 08060001 08000604 00010000
dns_ci_0:   42 | ffffffff ffff0000 00000001 08060001 08000604 00010000
dns_ci_0:   42 | ffffffff ffff0000 00000001 08060001 08000604 00010000
dns_ci_0:   42 | ffffffff ffff0000 00000001 08060001 08000604 00010000
dns_ci_0:   42 | ffffffff ffff0000 00000001 08060001 08000604 00010000
dns_ci_0:   42 | ffffffff ffff0000 00000001 08060001 08000604 00010000
dns_ci_0:   42 | ffffffff ffff0000 00000001 08060001 08000604 00010000
dns_ci_0:   42 | ffffffff ffff0000 00000001 08060001 08000604 00010000
dns_ci_0:   42 | ffffffff ffff0000 00000001 08060001 08000604 00010000
dns_ci_0:   42 | ffffffff ffff0000 00000001 08060001 08000604 00010000
dns_ci_0:   42 | ffffffff ffff0000 00000001 08060001 08000604 00010000
dns_ci_0:   42 | ffffffff ffff0000 00000001 08060001 08000604 00010000
dns_ci_0:   42 | ffffffff ffff0000 00000001 08060001 08000604 00010000
dns_ci_0:   42 | ffffffff ffff0000 00000001 08060001 08000604 00010000
dns_ci_0:   42 | ffffffff ffff0000 00000001 08060001 08000604 00010000
dns_ci_0:   42 | ffffffff ffff0000 00000001 08060001 08000604 00010000
dns_ci_0:   42 | ffffffff ffff0000 00000001 08060001 08000604 00010000
dns_ci_0:   42 | ffffffff ffff0000 00000001 08060001 08000604 00010000
dns_ci_0:   42 | ffffffff ffff924a f4047554 08060001 08000604 0001924a
dns_ci_0:   42 | ffffffff ffff924a f4047554 08060001 08000604 0001924a
dns_ci_3:   70 | 33330000 00020000 00000002 86dd6000 00000010 3afffe80
dns_ci_3:   70 | 33330000 00020000 00000002 86dd6000 00000010 3afffe80
dns_ci_3:   70 | 33330000 00020000 00000002 86dd6000 00000010 3afffe80
dns_ci_3:   70 | 33330000 00020000 00000002 86dd6000 00000010 3afffe80
dns_ci_3:   70 | 33330000 00020000 00000002 86dd6000 00000010 3afffe80
dns_ci_3:   70 | 33330000 00020000 00000002 86dd6000 00000010 3afffe80
dns_ci_3:   70 | 33330000 0002c647 55b4e8c5 86dd6000 00000010 3afffe80
dns_ci_3:   70 | 33330000 0002c647 55b4e8c5 86dd6000 00000010 3afffe80
dns_ci_3:   70 | 33330000 00020000 00000004 86dd6000 00000010 3afffe80
dns_ci_3:   70 | 33330000 00020000 00000004 86dd6000 00000010 3afffe80
dns_ci_3:   70 | 33330000 00020000 00000004 86dd6000 00000010 3afffe80
dns_ci_3:   70 | 33330000 00020000 00000004 86dd6000 00000010 3afffe80
dns_ci_3:   70 | 33330000 00020000 00000004 86dd6000 00000010 3afffe80
dns_ci_3:   70 | 33330000 00020000 00000004 86dd6000 00000010 3afffe80
dns_ci_3:   70 | 33330000 00020000 00000004 86dd6000 00000010 3afffe80
dns_ci_3:   70 | 33330000 00020000 00000004 86dd6000 00000010 3afffe80
dns_ci_3:   70 | 33330000 00020000 00000004 86dd6000 00000010 3afffe80
dns_ci_3:   70 | 33330000 00020000 00000004 86dd6000 00000010 3afffe80
dns_ci_3:   70 | 33330000 00020000 00000004 86dd6000 00000010 3afffe80
dns_ci_3:   70 | 33330000 00020000 00000004 86dd6000 00000010 3afffe80
dns_ci_3:   70 | 33330000 00020000 00000004 86dd6000 00000010 3afffe80
dns_ci_3:   70 | 33330000 00020000 00000004 86dd6000 00000010 3afffe80
dns_ci_3:   70 | 33330000 00020000 00000004 86dd6000 00000010 3afffe80
dns_ci_3:   70 | 33330000 00020000 00000004 86dd6000 00000010 3afffe80
dns_ci_3:   70 | 33330000 00020000 00000004 86dd6000 00000010 3afffe80
dns_ci_3:   70 | 33330000 00020000 00000004 86dd6000 00000010 3afffe80
dns_ci_3:   70 | 33330000 00020000 00000004 86dd6000 00000010 3afffe80
dns_ci_3:   70 | 33330000 00020000 00000004 86dd6000 00000010 3afffe80
dns_ci_3:   70 | 33330000 00020000 00000004 86dd6000 00000010 3afffe80
dns_ci_3:   70 | 33330000 00020000 00000004 86dd6000 00000010 3afffe80
dns_ci_3:   70 | 33330000 00020000 00000004 86dd6000 00000010 3afffe80
dns_ci_3:   70 | 33330000 00020000 00000004 86dd6000 00000010 3afffe80
dns_ci_3:   70 | 33330000 00020000 00000004 86dd6000 00000010 3afffe80
dns_ci_3:   70 | 33330000 00020000 00000004 86dd6000 00000010 3afffe80
dns_ci_3:   70 | 33330000 00020000 00000004 86dd6000 00000010 3afffe80
dns_ci_3:   70 | 33330000 00020000 00000004 86dd6000 00000010 3afffe80
dns_ci_3:   70 | 33330000 00020000 00000004 86dd6000 00000010 3afffe80
dns_ci_3:   70 | 33330000 00020000 00000004 86dd6000 00000010 3afffe80
dns_ci_3:   70 | 33330000 00020000 00000004 86dd6000 00000010 3afffe80
dns_ci_3:   70 | 33330000 00020000 00000004 86dd6000 00000010 3afffe80
dns_ci_3:   70 | 33330000 00020000 00000004 86dd6000 00000010 3afffe80
dns_ci_3:   70 | 33330000 00020000 00000004 86dd6000 00000010 3afffe80
dns_ci_3:   70 | 33330000 00020000 00000004 86dd6000 00000010 3afffe80
dns_ci_3:   70 | 33330000 00020000 00000004 86dd6000 00000010 3afffe80
dns_ci_3:   70 | 33330000 00020000 00000004 86dd6000 00000010 3afffe80
dns_ci_3:   70 | 33330000 00020000 00000004 86dd6000 00000010 3afffe80
